gid,section,key,value,links,element_id,element_class,element_tag,parent_id,parent_class,data_url,href,company_gid_from_link
3641,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3641,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3641,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3641,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3641,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
15575,meta,url,https://mininghub.com/project-profile?gid=15575,,,,,,,,,
15575,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
15575,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
15575,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
15575,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
15575,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
15575,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
12944,meta,url,https://mininghub.com/project-profile?gid=12944,,,,,,,,,
12944,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
12944,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
12944,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
