ID,Type,Status,URL,Notes
7810,Project,In URL file but missing from API,https://mininghub.com/project/skeleton-rocks/7810,URL exists but project not found in API response
10286,Project,In URL file but missing from API,https://mininghub.com/project/arthur/10286,URL exists but project not found in API response
15678,Project,In URL file but missing from API,https://mininghub.com/project/balagundi/15678,URL exists but project not found in API response
16020,Project,In URL file but missing from API,https://mininghub.com/project/clermont/16020,URL exists but project not found in API response
7224,Project,In URL file but missing from API,https://mininghub.com/project/yarrambee/7224,URL exists but project not found in API response
17393,Project,In URL file but missing from API,https://mininghub.com/project/arax/17393,URL exists but project not found in API response
16006,Project,In URL file but missing from API,https://mininghub.com/project/rocklea/16006,URL exists but project not found in API response
15721,Project,In URL file but missing from API,https://mininghub.com/project/hawkins/15721,URL exists but project not found in API response
16213,Project,In URL file but missing from API,https://mininghub.com/project/cameron/16213,URL exists but project not found in API response
15793,Project,In URL file but missing from API,https://mininghub.com/project/broken-hill/15793,URL exists but project not found in API response
17822,Project,In URL file but missing from API,https://mininghub.com/project/mini/17822,URL exists but project not found in API response
16720,Project,In URL file but missing from API,https://mininghub.com/project/tala-hamza/16720,URL exists but project not found in API response
17165,Project,In URL file but missing from API,https://mininghub.com/project/oliva/17165,URL exists but project not found in API response
8286,Project,In URL file but missing from API,https://mininghub.com/project/mkuju/8286,URL exists but project not found in API response
17397,Project,In URL file but missing from API,https://mininghub.com/project/keynes-hill/17397,URL exists but project not found in API response
8766,Project,In URL file but missing from API,https://mininghub.com/project/regnault/8766,URL exists but project not found in API response
2554,Project,In URL file but missing from API,https://mininghub.com/project/goldchief/2554,URL exists but project not found in API response
16370,Project,In URL file but missing from API,https://mininghub.com/project/chimu/16370,URL exists but project not found in API response
6488,Project,In URL file but missing from API,https://mininghub.com/project/louise/6488,URL exists but project not found in API response
7828,Project,In URL file but missing from API,https://mininghub.com/project/sanbrado/7828,URL exists but project not found in API response
16269,Project,In URL file but missing from API,https://mininghub.com/project/chapudi/16269,URL exists but project not found in API response
15638,Project,In URL file but missing from API,https://mininghub.com/project/mt-zephyr/15638,URL exists but project not found in API response
7483,Project,In URL file but missing from API,https://mininghub.com/project/conrad/7483,URL exists but project not found in API response
